DoubleStream-Timestep0-Layer0-Rank0: 294.89801025390625ms
DoubleStream-Timestep0-Layer0-Rank1: 290.8831481933594ms
DoubleStream-Timestep0-Layer0-Rank3: 290.915771484375ms
DoubleStream-Timestep0-Layer0-Rank2: 288.91522216796875ms
DoubleStream-Timestep0-Layer1-Rank0: 287.25946044921875ms
DoubleStream-Timestep0-Layer1-Rank3: 288.22552490234375ms
DoubleStream-Timestep0-Layer1-Rank2: 287.7959899902344ms
DoubleStream-Timestep0-Layer1-Rank1: 288.56341552734375ms
DoubleStream-Timestep0-Layer2-Rank3: 291.8710021972656ms
DoubleStream-Timestep0-Layer2-Rank0: 291.9391174316406ms
DoubleStream-Timestep0-Layer2-Rank1: 291.6598815917969ms
DoubleStream-Timestep0-Layer2-Rank2: 291.80340576171875ms
DoubleStream-Timestep0-Layer3-Rank3: 294.920654296875ms
DoubleStream-Timestep0-Layer3-Rank2: 294.7980041503906ms
DoubleStream-Timestep0-Layer3-Rank1: 295.2276916503906ms
DoubleStream-Timestep0-Layer3-Rank0: 295.4231262207031ms
DoubleStream-Timestep0-Layer4-Rank0: 290.8172912597656ms
DoubleStream-Timestep0-Layer4-Rank1: 290.9397888183594ms
DoubleStream-Timestep0-Layer4-Rank3: 290.7267150878906ms
DoubleStream-Timestep0-Layer4-Rank2: 290.8606872558594ms
DoubleStream-Timestep0-Layer5-Rank1: 296.8691101074219ms
DoubleStream-Timestep0-Layer5-Rank0: 296.88592529296875ms
DoubleStream-Timestep0-Layer5-Rank3: 297.8897399902344ms
DoubleStream-Timestep0-Layer5-Rank2: 297.3265686035156ms
DoubleStream-Timestep0-Layer6-Rank3: 292.37298583984375ms
DoubleStream-Timestep0-Layer6-Rank0: 292.5739440917969ms
DoubleStream-Timestep0-Layer6-Rank1: 293.09906005859375ms
DoubleStream-Timestep0-Layer6-Rank2: 292.65155029296875ms
DoubleStream-Timestep0-Layer7-Rank0: 293.6223449707031ms
DoubleStream-Timestep0-Layer7-Rank1: 293.6311950683594ms
DoubleStream-Timestep0-Layer7-Rank3: 294.4627990722656ms
DoubleStream-Timestep0-Layer7-Rank2: 294.0789489746094ms
DoubleStream-Timestep0-Layer8-Rank0: 296.8598327636719ms
DoubleStream-Timestep0-Layer8-Rank3: 296.5409240722656ms
DoubleStream-Timestep0-Layer8-Rank1: 296.8043212890625ms
DoubleStream-Timestep0-Layer8-Rank2: 296.7728576660156ms
DoubleStream-Timestep0-Layer9-Rank0: 296.87298583984375ms
DoubleStream-Timestep0-Layer9-Rank2: 296.23406982421875ms
DoubleStream-Timestep0-Layer9-Rank1: 296.84808349609375ms
DoubleStream-Timestep0-Layer9-Rank3: 671.4617309570312ms
DoubleStream-Timestep0-Layer10-Rank1: 289.6282958984375ms
DoubleStream-Timestep0-Layer10-Rank0: 289.8797302246094ms
DoubleStream-Timestep0-Layer10-Rank3: 290.0365905761719ms
DoubleStream-Timestep0-Layer10-Rank2: 290.0540466308594ms
DoubleStream-Timestep0-Layer11-Rank1: 315.3000183105469ms
DoubleStream-Timestep0-Layer11-Rank0: 315.625ms
DoubleStream-Timestep0-Layer11-Rank3: 314.37591552734375ms
DoubleStream-Timestep0-Layer11-Rank2: 315.3143615722656ms
DoubleStream-Timestep0-Layer12-Rank0: 293.0342102050781ms
DoubleStream-Timestep0-Layer12-Rank1: 293.08038330078125ms
DoubleStream-Timestep0-Layer12-Rank3: 292.9432373046875ms
DoubleStream-Timestep0-Layer12-Rank2: 293.317138671875ms
