DoubleStream-Timestep0-Layer0-Rank0: 802.6044921875ms
DoubleStream-Timestep0-Layer0-Rank2: 296.80029296875ms
DoubleStream-Timestep0-Layer0-Rank1: 806.9219970703125ms
DoubleStream-Timestep0-Layer0-Rank3: 795.22216796875ms
DoubleStream-Timestep0-Layer1-Rank1: 290.0736389160156ms
DoubleStream-Timestep0-Layer1-Rank3: 291.5002136230469ms
DoubleStream-Timestep0-Layer1-Rank2: 291.4811096191406ms
DoubleStream-Timestep0-Layer1-Rank0: 292.3551940917969ms
DoubleStream-Timestep0-Layer2-Rank3: 293.0885009765625ms
DoubleStream-Timestep0-Layer2-Rank0: 293.0986328125ms
DoubleStream-Timestep0-Layer2-Rank1: 293.79730224609375ms
DoubleStream-Timestep0-Layer2-Rank2: 292.952392578125ms
DoubleStream-Timestep0-Layer3-Rank1: 297.4019470214844ms
DoubleStream-Timestep0-Layer3-Rank3: 297.5328369140625ms
DoubleStream-Timestep0-Layer3-Rank0: 297.5050048828125ms
DoubleStream-Timestep0-Layer3-Rank2: 296.8266296386719ms
DoubleStream-Timestep0-Layer4-Rank0: 293.24261474609375ms
DoubleStream-Timestep0-Layer4-Rank1: 294.17022705078125ms
DoubleStream-Timestep0-Layer4-Rank3: 294.163330078125ms
DoubleStream-Timestep0-Layer4-Rank2: 293.7640075683594ms
DoubleStream-Timestep0-Layer5-Rank1: 296.91888427734375ms
DoubleStream-Timestep0-Layer5-Rank0: 297.2231750488281ms
DoubleStream-Timestep0-Layer5-Rank3: 297.0785827636719ms
DoubleStream-Timestep0-Layer5-Rank2: 297.1788024902344ms
DoubleStream-Timestep0-Layer6-Rank1: 296.65814208984375ms
DoubleStream-Timestep0-Layer6-Rank0: 296.72528076171875ms
DoubleStream-Timestep0-Layer6-Rank3: 296.7522277832031ms
DoubleStream-Timestep0-Layer6-Rank2: 296.69317626953125ms
DoubleStream-Timestep0-Layer7-Rank0: 297.69073486328125ms
DoubleStream-Timestep0-Layer7-Rank3: 297.8796691894531ms
DoubleStream-Timestep0-Layer7-Rank2: 297.26019287109375ms
DoubleStream-Timestep0-Layer7-Rank1: 298.5006103515625ms
DoubleStream-Timestep0-Layer8-Rank0: 300.25799560546875ms
DoubleStream-Timestep0-Layer8-Rank3: 299.775146484375ms
DoubleStream-Timestep0-Layer8-Rank2: 300.2780456542969ms
DoubleStream-Timestep0-Layer8-Rank1: 300.16851806640625ms
DoubleStream-Timestep0-Layer9-Rank0: 298.39556884765625ms
DoubleStream-Timestep0-Layer9-Rank1: 298.932373046875ms
DoubleStream-Timestep0-Layer9-Rank2: 298.7777099609375ms
DoubleStream-Timestep0-Layer9-Rank3: 299.1700744628906ms
DoubleStream-Timestep0-Layer10-Rank0: 300.5803527832031ms
DoubleStream-Timestep0-Layer10-Rank1: 300.2340393066406ms
DoubleStream-Timestep0-Layer10-Rank2: 300.3921813964844ms
DoubleStream-Timestep0-Layer10-Rank3: 301.31488037109375ms
DoubleStream-Timestep0-Layer11-Rank0: 299.10400390625ms
DoubleStream-Timestep0-Layer11-Rank3: 298.9989013671875ms
DoubleStream-Timestep0-Layer11-Rank1: 299.05853271484375ms
DoubleStream-Timestep0-Layer11-Rank2: 299.39349365234375ms
DoubleStream-Timestep0-Layer12-Rank0: 299.47491455078125ms
DoubleStream-Timestep0-Layer12-Rank1: 299.5856018066406ms
DoubleStream-Timestep0-Layer12-Rank2: 299.564453125ms
DoubleStream-Timestep0-Layer12-Rank3: 299.89569091796875ms
DoubleStream-Timestep0-Layer13-Rank0: 299.7935485839844ms
DoubleStream-Timestep0-Layer13-Rank3: 299.6546630859375ms
DoubleStream-Timestep0-Layer13-Rank2: 299.7811584472656ms
DoubleStream-Timestep0-Layer13-Rank1: 300.06097412109375ms
DoubleStream-Timestep0-Layer14-Rank0: 997.8318481445312ms
DoubleStream-Timestep0-Layer14-Rank3: 998.4249877929688ms
DoubleStream-Timestep0-Layer14-Rank1: 998.2041625976562ms
DoubleStream-Timestep0-Layer14-Rank2: 998.2415161132812ms
DoubleStream-Timestep0-Layer15-Rank0: 293.8939208984375ms
DoubleStream-Timestep0-Layer15-Rank1: 294.251220703125ms
DoubleStream-Timestep0-Layer15-Rank3: 294.0400695800781ms
DoubleStream-Timestep0-Layer15-Rank2: 293.863037109375ms
DoubleStream-Timestep0-Layer16-Rank0: 306.11865234375ms
DoubleStream-Timestep0-Layer16-Rank1: 305.3041687011719ms
